txn_ref,date,amount,vendor_name,merchant_desc
TXN-000043,2026-08-11,259.79,GITHUB,STARBUCKS #123 353
TXN-000044,2026-07-30,45.23,MICROSOFT,NETFLIX SUBSCRIPTION 211
TXN-000045,2026-07-29,712.11,NETFLIX,SPOTIFY PREMIUM 198
TXN-000046,2026-08-13,115.34,AMAZON,SPOTIFY PREMIUM 960
TXN-000047,2026-08-13,442.14,DOORDASH,UBER TRIP 995
TXN-000048,2026-07-29,205.71,NETFLIX,UBER TRIP 805
TXN-000049,2026-08-13,896.28,GITHUB,WALMART SUPER 262
TXN-000050,2026-08-02,477.99,MICROSOFT,SPOTIFY PREMIUM 260
TXN-000051,2026-07-26,565.46,APPLE,STARBUCKS #123 900
TXN-000052,2026-08-06,697.04,MICROSOFT,PAYPAL TRANSFER 915
TXN-000053,2026-08-03,143.63,PAYPAL,STARBUCKS #123 603
TXN-000054,2026-08-08,606.4,MICROSOFT,DOORDASH DELIVERY 234
TXN-000055,2026-07-17,542.14,PAYPAL,NETFLIX SUBSCRIPTION 500
TXN-000056,2026-07-19,207.05,APPLE,AMAZON PRIME 787
TXN-000057,2026-08-02,943.14,SPOTIFY,GITHUB PRO 982
TXN-000058,2026-07-21,600.87,GITHUB,WALMART SUPER 474
TXN-000059,2026-08-04,696.31,PAYPAL,WALMART SUPER 849
TXN-000060,2026-07-23,881.07,AMAZON,WALMART SUPER 329
TXN-000061,2026-07-21,626.23,MICROSOFT,NETFLIX SUBSCRIPTION 537
TXN-000062,2026-08-01,299.16,MICROSOFT,DOORDASH DELIVERY 382
TXN-000063,2026-07-18,109.97,AMAZON,AMAZON WEB SERVICES 325
TXN-000064,2026-08-08,459.25,UBER,PAYPAL TRANSFER 897
TXN-000065,2026-08-11,222.35,WALMART,AMAZON PRIME 383
TXN-000066,2026-07-28,419.43,SPOTIFY,AMAZON PRIME 552
TXN-000067,2026-08-01,883.86,DOORDASH,GITHUB PRO 928
TXN-000068,2026-08-09,327.72,PAYPAL,NETFLIX SUBSCRIPTION 615
TXN-000069,2026-07-23,126.48,AMAZON,NETFLIX SUBSCRIPTION 291
TXN-000070,2026-08-09,359.52,APPLE,AMAZON PRIME 611
TXN-000071,2026-08-04,907.29,PAYPAL,AMAZON PRIME 271
TXN-000072,2026-07-16,275.77,WALMART,GITHUB PRO 257
TXN-000073,2026-08-03,649.45,APPLE,PAYPAL TRANSFER 617
TXN-000074,2026-08-11,5.52,NETFLIX,NETFLIX SUBSCRIPTION 991
TXN-000075,2026-07-29,355.81,GITHUB,SPOTIFY PREMIUM 136
TXN-000076,2026-08-11,308.26,MICROSOFT,DOORDASH DELIVERY 448
TXN-000077,2026-07-21,168.83,NETFLIX,AMAZON PRIME 401
TXN-000078,2026-07-26,536.42,PAYPAL,PAYPAL TRANSFER 706
TXN-000079,2026-08-12,487.41,WALMART,NETFLIX SUBSCRIPTION 799
TXN-000080,2026-07-22,693.97,SPOTIFY,AMAZON PRIME 215
TXN-000081,2026-07-29,273.07,GITHUB,PAYPAL TRANSFER 260
TXN-000082,2026-07-17,247.9,PAYPAL,NETFLIX SUBSCRIPTION 227
TXN-000083,2026-07-28,172.45,AMAZON,UBER TRIP 892
TXN-000084,2026-07-31,222.67,STARBUCKS,MICROSOFT 365 834
TXN-000085,2026-07-18,560.31,PAYPAL,WALMART SUPER 669
TXN-000086,2026-08-01,406.82,GITHUB,NETFLIX SUBSCRIPTION 971
TXN-000087,2026-07-22,69.57,MICROSOFT,DOORDASH DELIVERY 725
TXN-000088,2026-07-18,257.65,MICROSOFT,WALMART SUPER 762
TXN-000089,2026-07-16,250.64,PAYPAL,UBER TRIP 738
TXN-000090,2026-08-13,697.82,APPLE,AMAZON WEB SERVICES 589
TXN-000091,2026-07-20,713.71,STARBUCKS,UBER TRIP 884
TXN-000092,2026-08-05,152.35,AMAZON,DOORDASH DELIVERY 492
TXN-000093,2026-07-24,997.75,PAYPAL,AMAZON WEB SERVICES 345
TXN-000094,2026-07-18,270.45,APPLE,APPLE STORE 576
TXN-000095,2026-08-05,976.73,MICROSOFT,MICROSOFT 365 858
TXN-000096,2026-08-12,413.98,MICROSOFT,MICROSOFT 365 966
TXN-000097,2026-08-01,37.89,WALMART,UBER TRIP 507
TXN-000098,2026-08-09,348.35,PAYPAL,GITHUB PRO 605
TXN-000099,2026-07-26,636.18,STARBUCKS,APPLE STORE 924
TXN-000100,2026-07-16,682.3,UBER,STARBUCKS #123 784
