transaction_id,date,amount,description,counterparty
TXN-000043,2026-08-11,259.79,STARBUCKS #123 353,GITHUB
TXN-000044,2026-07-30,45.23,NETFLIX SUBSCRIPTION 211,MICROSOFT
TXN-000045,2026-07-29,712.11,SPOTIFY PREMIUM 198,NETFLIX
TXN-000046,2026-08-13,115.34,SPOTIFY PREMIUM 960,AMAZON
TXN-000047,2026-08-13,442.14,UBER TRIP 995,DOORDASH
TXN-000048,2026-07-29,205.71,UBER TRIP 805,NETFLIX
TXN-000049,2026-08-13,896.28,WALMART SUPER 262,GITHUB
TXN-000050,2026-08-02,477.99,SPOTIFY PREMIUM 260,MICROSOFT
TXN-000051,2026-07-26,565.46,STARBUCKS #123 900,APPLE
TXN-000052,2026-08-06,697.04,PAYPAL TRANSFER 915,MICROSOFT
TXN-000053,2026-08-03,143.63,STARBUCKS #123 603,PAYPAL
TXN-000054,2026-08-08,606.4,DOORDASH DELIVERY 234,MICROSOFT
TXN-000055,2026-07-17,542.14,NETFLIX SUBSCRIPTION 500,PAYPAL
TXN-000056,2026-07-19,207.05,AMAZON PRIME 787,APPLE
TXN-000057,2026-08-02,943.14,GITHUB PRO 982,SPOTIFY
TXN-000058,2026-07-21,600.87,WALMART SUPER 474,GITHUB
TXN-000059,2026-08-04,696.31,WALMART SUPER 849,PAYPAL
TXN-000060,2026-07-23,881.07,WALMART SUPER 329,AMAZON
TXN-000061,2026-07-21,626.23,NETFLIX SUBSCRIPTION 537,MICROSOFT
TXN-000062,2026-08-01,299.16,DOORDASH DELIVERY 382,MICROSOFT
TXN-000063,2026-07-18,109.97,AMAZON WEB SERVICES 325,AMAZON
TXN-000064,2026-08-08,459.25,PAYPAL TRANSFER 897,UBER
TXN-000065,2026-08-11,222.35,AMAZON PRIME 383,WALMART
TXN-000066,2026-07-28,419.43,AMAZON PRIME 552,SPOTIFY
TXN-000067,2026-08-01,883.86,GITHUB PRO 928,DOORDASH
TXN-000068,2026-08-09,327.72,NETFLIX SUBSCRIPTION 615,PAYPAL
TXN-000069,2026-07-23,126.48,NETFLIX SUBSCRIPTION 291,AMAZON
TXN-000070,2026-08-09,359.52,AMAZON PRIME 611,APPLE
TXN-000071,2026-08-04,907.29,AMAZON PRIME 271,PAYPAL
TXN-000072,2026-07-16,275.77,GITHUB PRO 257,WALMART
TXN-000073,2026-08-03,649.45,PAYPAL TRANSFER 617,APPLE
TXN-000074,2026-08-11,5.52,NETFLIX SUBSCRIPTION 991,NETFLIX
TXN-000075,2026-07-29,355.81,SPOTIFY PREMIUM 136,GITHUB
TXN-000076,2026-08-11,308.26,DOORDASH DELIVERY 448,MICROSOFT
TXN-000077,2026-07-21,168.83,AMAZON PRIME 401,NETFLIX
TXN-000078,2026-07-26,536.42,PAYPAL TRANSFER 706,PAYPAL
TXN-000079,2026-08-12,487.41,NETFLIX SUBSCRIPTION 799,WALMART
TXN-000080,2026-07-22,693.97,AMAZON PRIME 215,SPOTIFY
TXN-000081,2026-07-29,273.07,PAYPAL TRANSFER 260,GITHUB
TXN-000082,2026-07-17,247.9,NETFLIX SUBSCRIPTION 227,PAYPAL
TXN-000083,2026-07-28,172.45,UBER TRIP 892,AMAZON
TXN-000084,2026-07-31,222.67,MICROSOFT 365 834,STARBUCKS
TXN-000085,2026-07-18,560.31,WALMART SUPER 669,PAYPAL
TXN-000086,2026-08-01,406.82,NETFLIX SUBSCRIPTION 971,GITHUB
TXN-000087,2026-07-22,69.57,DOORDASH DELIVERY 725,MICROSOFT
TXN-000088,2026-07-18,257.65,WALMART SUPER 762,MICROSOFT
TXN-000089,2026-07-16,250.64,UBER TRIP 738,PAYPAL
TXN-000090,2026-08-13,697.82,AMAZON WEB SERVICES 589,APPLE
TXN-000091,2026-07-20,713.71,UBER TRIP 884,STARBUCKS
TXN-000092,2026-08-05,152.35,DOORDASH DELIVERY 492,AMAZON
TXN-000093,2026-07-24,997.75,AMAZON WEB SERVICES 345,PAYPAL
TXN-000094,2026-07-18,270.45,APPLE STORE 576,APPLE
TXN-000095,2026-08-05,976.73,MICROSOFT 365 858,MICROSOFT
TXN-000096,2026-08-12,413.98,MICROSOFT 365 966,MICROSOFT
TXN-000097,2026-08-01,37.89,UBER TRIP 507,WALMART
TXN-000098,2026-08-09,348.35,GITHUB PRO 605,PAYPAL
TXN-000099,2026-07-26,636.18,APPLE STORE 924,STARBUCKS
TXN-000100,2026-07-16,682.3,STARBUCKS #123 784,UBER
